Category URL,Product URL,Page Number,Status,Error Type,Fallback Used,Records Written,Updated At
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/nuvo-trade-drdae,7,partial_fallback,no_master_data,yes,1,1777470960
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/ocean-pacific-sup-reg-sup-neonatural-sup-trade-sup,2,success,,no,2,1777470761
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/orasoothe-reg-sockit-gel,1,success,,no,9,1777470977
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/orca-sup-trade-sup-foam,3,success,,no,3,1777471041
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/orca-trade-dry-socket,3,success,,no,1,1777471046
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/ossif-i-sem-trade,1,success,,no,18,1777470973
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/ossify-sup-reg-sup-cortical-bone-sheet,1,success,,no,2,1777470965
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/ossify-sup-reg-sup-dbm-cortical-fiber-bone-graft,1,success,,no,6,1777470968
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/ossify-sup-reg-sup-min-demin-cortical-cancellous-bone-graft,1,success,,no,3,1777470970
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/periacryl-reg-90,3,success,,no,2,1777471044
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/perma-sharp-reg-sutures,1,success,,no,144,1777470982
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/polymed-reg,7,success,,no,1,1777470935
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/powerform-black,6,success,,no,5,1777470895
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/proderm-trade,7,success,,no,3,1777470933
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/pulse-nitrile,6,success,,no,5,1777470909
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/pulse-reg-logic-trade,6,partial_fallback,no_master_data,yes,1,1777470903
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/pulse-trade-latex,7,success,,no,5,1777470949
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/purple-nitrile,6,success,,no,4,1777470929
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/quantum-blue,3,success,,no,5,1777470807
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/r-t-r-membrane,2,partial_fallback,no_master_data,yes,1,1777471014
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/r-t-r-syringe,2,success,,no,6,1777471016
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/regenafill-sup-trade-sup-bone-graft-plug,1,success,,no,2,1777470963
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/revo200-reg,4,success,,no,4,1777470834
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/revosoft-reg-nitrile-gloves,1,success,,no,8,1777470748
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-durasoft-trade-latex-gloves,3,success,,no,15,1777470798
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-ez-green-chloroprene,2,success,,no,12,1777470786
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-nitrilex-black,1,success,,no,15,1777470753
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-nitrilex-prevail-trade-nitrile-gloves,2,success,,no,15,1777470792
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-nitrilex-reg-nitrile-gloves,3,success,,no,15,1777470795
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-nitrilex-reg-ultrasoft-nitrile-gloves,3,success,,no,15,1777470795
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-nitrilex-soothe,2,success,,no,15,1777470788
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-nitrilex-surpass-trade,2,success,,no,15,1777470790
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/safco-surestitch-trade-sutures,1,success,,no,45,1777470985
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/safety-scalpels,3,success,,no,2,1777471061
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/scalpel-handles-hu-friedy,4,success,,no,15,1777471074
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/sigma-reg,5,success,,no,10,1777470865
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/silkcare-reg,5,success,,no,4,1777470873
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/sodium-chloride-0-9-for-injection-b-braun,2,success,,no,3,1777471004
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/sodium-chloride-0-9-for-injection-baxter,2,success,,no,4,1777471002
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/soft-tissue-trimmer,1,success,,no,6,1777470995
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/sterile-water-for-injection-b-braun,2,success,,no,4,1777471000
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/surgical-blade-handles-bard-parker-bd,4,success,,no,4,1777471076
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/surgical-blades,4,success,,no,18,1777471079
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/surgical-blades-bard-parker-bd,4,success,,no,11,1777471084
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/surgical-blades-hu-friedy,3,success,,no,21,1777471068
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/surgical-blades-integra-miltex,4,success,,no,34,1777471082
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/surgicel-reg,3,success,,no,2,1777471039
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/surgifoam-reg,1,success,,no,6,1777470961
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/suture-needles-integra-miltex,4,success,,no,1,1777471087
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/transcend-trade,4,success,,no,8,1777470831
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/true-comfort-reg-blu,2,success,,no,5,1777470763
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/trueform,3,success,,no,2,1777470808
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/vitalgard-reg,7,success,,no,1,1777470941
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/wire-glove-box-holder,7,success,,no,3,1777470959
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/xlim-reg,1,success,,no,5,1777470741
