Product Name,Brand,Item Number,Mfr #,Category Hierarchy,Product URL,Qty,Price,Unit,Availability,Description,Attributes,Image URLs,Alternative Product URL,Alternative Item Number
Alasta gloves x-small 100/box,Dash,4680714,ALS100XS,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Alasta,https://www.safcodental.com/product/alasta-sup-reg-sup,1,10.49,100/box,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,"X-small, 100/box","https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Alasta gloves small 100/box,Dash,4680720,ALS100S,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Alasta,https://www.safcodental.com/product/alasta-sup-reg-sup,1,10.49,100/box,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,"Small,100/box","https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Alasta gloves medium 100/box,Dash,4680726,ALS100M,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Alasta,https://www.safcodental.com/product/alasta-sup-reg-sup,1,10.49,100/box,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,"Medium, 100/box","https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Alasta gloves large 100/box,Dash,4680732,ALS100L,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Alasta,https://www.safcodental.com/product/alasta-sup-reg-sup,1,10.49,100/box,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,"Large, 100/box","https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Alasta nitrile gloves x-large 100/bx,Dash,4681210,ALS100XL,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Alasta,https://www.safcodental.com/product/alasta-sup-reg-sup,1,10.49,100/box,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,"X-Large, 100/box","https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Alasta gloves x-small 200/box,Dash,4681102,ALS200XS,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Alasta,https://www.safcodental.com/product/alasta-sup-reg-sup,1,20.99,200/box,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,"X-small, 200/box","https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Alasta gloves small 200/box,Dash,4681105,ALS200S,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Alasta,https://www.safcodental.com/product/alasta-sup-reg-sup,1,20.99,200/box,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,"Small, 200/box","https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Alasta gloves medium 200/box,Dash,4681108,ALS200M,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Alasta,https://www.safcodental.com/product/alasta-sup-reg-sup,1,20.99,200/box,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,"Medium, 200/box","https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Alasta gloves large 200/box,Dash,4681111,ALS200L,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Alasta,https://www.safcodental.com/product/alasta-sup-reg-sup,1,20.99,200/box,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,"Large, 200/box","https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Alasta gloves x-large 200/box,Dash,4681112,ALS200XL,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Alasta,https://www.safcodental.com/product/alasta-sup-reg-sup,1,20.99,200/box,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,"X-large, 200/box","https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
