Category URL,Product URL,Page Number,Page Type,Classification Reason,Status,Error Stage,Error Type,Error Message,HTTP Status,Fallback Used,Records Written
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-sup-reg-sup-neogard-trade-touch,3,item_table_page,masterData found,success,,,,,no,2
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aquaprene-reg,3,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/beesure-reg-neogrene-trade,3,unsupported_layout,No item-level masterData found,partial_fallback,item_extraction,no_master_data,No item-level masterData found; wrote fallback record.,,yes,1
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/quantum-blue,3,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/trueform,3,item_table_page,masterData found,success,,,,,no,2
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-reg-midknight-trade-touch,3,unsupported_layout,No item-level masterData found,partial_fallback,item_extraction,no_master_data,No item-level masterData found; wrote fallback record.,,yes,1
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/micro-touch-reg-nitrafree-trade-pink,3,unsupported_layout,No item-level masterData found,partial_fallback,item_extraction,no_master_data,No item-level masterData found; wrote fallback record.,,yes,1
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/alasta-sup-reg-sup-shimmer-pink-nitrile,3,item_table_page,masterData found,success,,,,,no,4
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aurelia-reg-bold-reg,3,unsupported_layout,No item-level masterData found,partial_fallback,item_extraction,no_master_data,No item-level masterData found; wrote fallback record.,,yes,1
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aurelia-sup-reg-sup-robust-sup-reg-sup,3,unsupported_layout,No item-level masterData found,partial_fallback,item_extraction,no_master_data,No item-level masterData found; wrote fallback record.,,yes,1
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aurelia-reg-sonic-reg-100,3,unsupported_layout,No item-level masterData found,partial_fallback,item_extraction,no_master_data,No item-level masterData found; wrote fallback record.,,yes,1
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/luxe-trade,3,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aurelia-reg-absolute-trade,4,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/inspire-trade,4,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/carbon-reg-nitrile,4,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/transcend-trade,4,item_table_page,masterData found,success,,,,,no,8
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/beesure-reg-glacier-nitrile,4,item_table_page,masterData found,success,,,,,no,8
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/revo200-reg,4,item_table_page,masterData found,success,,,,,no,4
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aurelia-sup-reg-sup-sonic-sup-reg-sup,4,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aurelia-reg-blush-reg,4,item_table_page,masterData found,success,,,,,no,8
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/evolve-trade-300,4,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aurelia-sup-reg-sup-transform-sup-reg-sup,4,item_table_page,masterData found,success,,,,,no,8
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aurelia-sup-reg-sup-perform-sup-trade-sup,4,item_table_page,masterData found,success,,,,,no,4
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/curve-reg-fitted,4,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/contour-reg,4,unsupported_layout,No item-level masterData found,partial_fallback,item_extraction,no_master_data,No item-level masterData found; wrote fallback record.,,yes,1
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/contour-plus-trade,4,item_table_page,masterData found,success,,,,,no,4
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aurelia-sup-reg-sup-prot-eacute-g-eacute-sup-reg-sup,4,unsupported_layout,No item-level masterData found,partial_fallback,item_extraction,no_master_data,No item-level masterData found; wrote fallback record.,,yes,1
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/essential-textured,5,item_table_page,masterData found,success,,,,,no,1
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aurelia-reg-distinct-reg,5,unsupported_layout,No item-level masterData found,partial_fallback,item_extraction,no_master_data,No item-level masterData found; wrote fallback record.,,yes,1
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/cyntek-reg,5,item_table_page,masterData found,success,,,,,no,10
